id,value,feed_id,created_at,lat,lon,ele
0EH03TKWM3K7K5YB0XBS6DQWS4,22.68762,1431814,2020-08-18 08:51:31 UTC,,,
0EH03TR4TGH20GJS9BXR6S3X61,22.6004,1431814,2020-08-18 08:51:45 UTC,,,
0EH03TWF57FRC1B1DAS3Z91S2B,22.6004,1431814,2020-08-18 08:52:00 UTC,,,
0EH03V0RWYXRJEEFDTNZF83TW1,22.77484,1431814,2020-08-18 08:52:14 UTC,,,
0EH03V52X8MG47P1F1BSRZ6EM0,22.51324,1431814,2020-08-18 08:52:28 UTC,,,
0EH03V9CT9ESRNGGHF3K1HKBSW,22.51324,1431814,2020-08-18 08:52:42 UTC,,,
0EH03VDPREFB6MTV4DB9QWAS96,22.68762,1431814,2020-08-18 08:52:56 UTC,,,
0EH03VSH4CDWDHNV8KN6SQ2MDP,22.68762,1431814,2020-08-18 08:53:35 UTC,,,
0EH03VXY02E99NYMX7MYTZKS2K,22.30997,1431814,2020-08-18 08:53:49 UTC,,,
0EH03W24YR3WBMBHR15647ZPD9,22.6004,1431814,2020-08-18 08:54:03 UTC,,,
0EH03W6J2PWBPXZSHXDFPBYYKE,22.30997,1431814,2020-08-18 08:54:17 UTC,,,
0EH041210487NP1E0P1RNY8CCB,22.30997,1431814,2020-08-18 09:02:47 UTC,,,
0EH0415C0E2E9CTYEQ83TBBK11,22.30997,1431814,2020-08-18 09:02:58 UTC,,,
0EH0418V53138T10RGBA0H1NHT,22.07782,1431814,2020-08-18 09:03:09 UTC,,,
0EH041C72WYN08KE32H01VP2NY,22.07782,1431814,2020-08-18 09:03:20 UTC,,,
0EH041FMZ27EHY8VKT2KAB627H,22.07782,1431814,2020-08-18 09:03:32 UTC,,,
0EH041K2Y4XVDEQFP720BTZ86P,22.19388,1431814,2020-08-18 09:03:43 UTC,,,
0EH041PFAF4CT36Z29EGPG009F,22.07782,1431814,2020-08-18 09:03:54 UTC,,,
0EH041SY2A55A9EK0WW2BJMS3Q,22.07782,1431814,2020-08-18 09:04:05 UTC,,,
0EH041X8WBMHWR8J108Q7YEV8M,21.8169,1431814,2020-08-18 09:04:16 UTC,,,
0EH0420Q6FC4C6G28HJYC07WRV,22.07782,1431814,2020-08-18 09:04:27 UTC,,,
0EH0424601FY8ZN19MB8V9S79A,21.99085,1431814,2020-08-18 09:04:39 UTC,,,
0EH0427MKAQ6CQ1H7VKFZF1TT4,21.99085,1431814,2020-08-18 09:04:50 UTC,,,
0EH042AYXJ74Q1HPTAYH4WGH6A,21.8169,1431814,2020-08-18 09:05:01 UTC,,,
0EH042ECZZ0SEQW3GEASD4SZ5Q,21.99085,1431814,2020-08-18 09:05:12 UTC,,,
0EH042HSMM979TZANKPWZKMPCW,21.90387,1431814,2020-08-18 09:05:23 UTC,,,
0EH042N6V79PY61RFXVW3VARBX,22.07782,1431814,2020-08-18 09:05:35 UTC,,,
0EH042RMZF7ZHVC2EKFANXDZW2,22.07782,1431814,2020-08-18 09:05:46 UTC,,,
0EH042W0WXDS5RGDP2WWAK85TC,21.99085,1431814,2020-08-18 09:05:57 UTC,,,
0EH042ZQ0XBRY5A5QP381MY49Z,21.8169,1431814,2020-08-18 09:06:09 UTC,,,
0EH0432WT7059HQD6XPTB8M0YS,22.07782,1431814,2020-08-18 09:06:19 UTC,,,
0EH04368W4TGT46X5TM3Y9ETWD,21.90387,1431814,2020-08-18 09:06:31 UTC,,,
0EH0439PZ2AC72EG620CFEC1VF,22.07782,1431814,2020-08-18 09:06:42 UTC,,,
0EH043D6PMDHK01W5RT3ZH1340,21.8169,1431814,2020-08-18 09:06:53 UTC,,,
0EH043GK2EHRVC2ZEDTD7ZWYYQ,22.07782,1431814,2020-08-18 09:07:04 UTC,,,
0EH043KZ4TPMC2W4S43A6VYEHJ,21.49826,1431814,2020-08-18 09:07:15 UTC,,,
0EH043QCWGRVYAY5HX36KEWAFP,22.07782,1431814,2020-08-18 09:07:27 UTC,,,
0EH043TV129QM6J2GMF0XAPTHE,21.8169,1431814,2020-08-18 09:07:38 UTC,,,
0EH043Y92KG8XQFV4M64C8YAHQ,21.49826,1431814,2020-08-18 09:07:49 UTC,,,
0EH0441N0BVK49Z0H4VZ8GG9NZ,21.72998,1431814,2020-08-18 09:08:00 UTC,,,
0EH04454X2GVGXRGANJG6YG2M6,22.07782,1431814,2020-08-18 09:08:12 UTC,,,
0EH0448EWPQBWSGXQH674P6QYG,21.90387,1431814,2020-08-18 09:08:23 UTC,,,
0EH044BWWR9J35QN6854CSJP7R,21.90387,1431814,2020-08-18 09:08:34 UTC,,,
0EH044FCEF2QZ49X47NBZG2D5H,21.72998,1431814,2020-08-18 09:08:45 UTC,,,
0EH044JQ0AAD44TRK7D518QCK6,21.38248,1431814,2020-08-18 09:08:56 UTC,,,
0EH044P517NFXAJN03NS0J6XKF,21.72998,1431814,2020-08-18 09:09:07 UTC,,,
0EH044SGYG2CMMV7P0159DA664,21.8169,1431814,2020-08-18 09:09:18 UTC,,,
0EH044WZ4J2ESFRY1B7MSRR0N6,21.90387,1431814,2020-08-18 09:09:30 UTC,,,
0EH0450CZEFGDEBJXDYK0NW62X,21.8169,1431814,2020-08-18 09:09:41 UTC,,,
0EH0453V5FSR4DT0HPPGDMS8Z5,21.90387,1431814,2020-08-18 09:09:52 UTC,,,
0EH045776FV7GE6A1HEVV85ZAB,21.38248,1431814,2020-08-18 09:10:03 UTC,,,
0EH045AMXCT8MZA9CD64N55WWZ,21.61407,1431814,2020-08-18 09:10:15 UTC,,,
0EH045E306MTWP3BDEKC9N0P7X,21.61407,1431814,2020-08-18 09:10:26 UTC,,,
0EH045HF1421MNXNVQG32472RE,21.49826,1431814,2020-08-18 09:10:37 UTC,,,
0EH045MVVA7M21NT5QWDENCEMG,21.49826,1431814,2020-08-18 09:10:48 UTC,,,
0EH045RB1A0RQW4PZEGYPTBE6T,21.38248,1431814,2020-08-18 09:10:59 UTC,,,
0EH045VRVTBYDYXN9X2K25W0B3,21.61407,1431814,2020-08-18 09:11:11 UTC,,,
0EH045Z4ZXB50Y5208DJN39A35,21.49826,1431814,2020-08-18 09:11:22 UTC,,,
0EH0462K2HN3CX5C1EB28936SE,21.31302,1431814,2020-08-18 09:11:33 UTC,,,
0EH0465YZPBNTXYDWQ251JVW9C,21.49826,1431814,2020-08-18 09:11:44 UTC,,,
0EH0469DW4P9FF1F49WDSVE74H,21.72998,1431814,2020-08-18 09:11:55 UTC,,,
0EH046CV2HHCWKPMVP5T6TGADG,21.38248,1431814,2020-08-18 09:12:07 UTC,,,
0EH046G6XVJFQ2P12TGFCFPVNS,21.61407,1431814,2020-08-18 09:12:18 UTC,,,
0EH046KQ31SDPBRJJJVGWQXBKN,21.49826,1431814,2020-08-18 09:12:29 UTC,,,
0EH046Q3088Z29NX3SYRBJZ2XG,21.24359,1431814,2020-08-18 09:12:40 UTC,,,
0EH046TF7Z2V0WFZPT2XVA5BAN,21.31302,1431814,2020-08-18 09:12:51 UTC,,,
0EH046XX06RPWC1RYF77DH4HKW,21.31302,1431814,2020-08-18 09:13:03 UTC,,,
0EH047192D9VV8RXGZ1JET3890,21.24359,1431814,2020-08-18 09:13:14 UTC,,,
0EH0474PXDTZN2KMH38P2EAK41,21.31302,1431814,2020-08-18 09:13:25 UTC,,,
0EH0478536NHWB9Y974BCHQPXB,21.31302,1431814,2020-08-18 09:13:36 UTC,,,
0EH047BK25YVZ0YM94M0JBBFT5,21.24359,1431814,2020-08-18 09:13:47 UTC,,,
